,region_id,region_type_id,region_name,region_type,period_begin,period_end,duration,total_homes_sold,total_homes_sold_yoy,average_homes_sold,average_homes_sold_yoy,total_homes_sold_with_price_drops,total_homes_sold_with_price_drops_yoy,average_homes_sold_with_price_drops,average_homes_sold_with_price_drops_yoy,percent_homes_sold_with_price_drops,percent_homes_sold_with_price_drops_yoy,median_sale_price,median_sale_price_yoy,median_sale_ppsf,median_sale_ppsf_yoy,median_days_to_close,median_days_to_close_yoy,price_drops,price_drops_yoy,percent_active_listings_with_price_drops,percent_active_listings_with_price_drops_yoy,pending_sales,pending_sales_yoy,median_pending_sqft,median_pending_sqft_yoy,off_market_in_two_weeks,off_market_in_two_weeks_yoy,off_market_in_one_week,off_market_in_one_week_yoy,percent_off_market_in_two_weeks,percent_off_market_in_two_weeks_yoy,percent_off_market_in_one_week,percent_off_market_in_one_week_yoy,total_new_listings,total_new_listings_yoy,average_new_listings,average_new_listings_yoy,median_new_listing_price,median_new_listing_price_yoy,median_new_listing_ppsf,median_new_listing_ppsf_yoy,inventory,inventory_yoy,total_active_listings,total_active_listings_yoy,active_listings,active_listings_yoy,age_of_inventory,age_of_inventory_yoy,homes_delisted,homes_delisted_yoy,percent_active_listings_delisted,percent_active_listings_delisted_yoy,median_active_list_price,median_active_list_price_yoy,median_active_list_ppsf,median_active_list_ppsf_yoy,average_of_median_list_price_amount,average_of_median_list_price_amount_yoy,average_of_median_offer_price_amount,average_of_median_offer_price_amount_yoy,avg_offer_to_list,avg_offer_to_list_yoy,average_sale_to_list_ratio,average_sale_to_list_ratio_yoy,median_days_on_market,median_days_on_market_yoy,pending_sales_to_sales_ratio,pending_sales_to_sales_ratio_yoy,months_of_supply,months_of_supply_yoy,average_pending_sales_listing_updates,average_pending_sales_listing_updates_yoy,average_percent_off_market_in_one_week_listing_updates,average_percent_off_market_in_one_week_listing_updates_yoy,average_percent_off_market_in_two_weeks_listing_updates,average_percent_off_market_in_two_weeks_listing_updates_yoy,percent_total_price_drops_of_inventory,percent_total_price_drops_of_inventory_yoy,percent_homes_sold_above_list,percent_homes_sold_above_list_yoy,price_drop_percent_of_old_list_price,price_drop_percent_of_old_list_price_yoy,last_updated,average_adjustment_average_homes_delisted,adjusted_average_homes_delisted,average_adjustment_average_homes_sold,adjusted_average_homes_sold,average_adjustment_average_new_listings,adjusted_average_new_listings,average_adjustment_pending_sales,adjusted_pending_sales,adjusted_average_homes_delisted_yoy,adjusted_average_homes_sold_yoy,adjusted_average_new_listings_yoy,adjusted_pending_sales_yoy
3696428,42644,-2,"Seattle, WA metro area",metro,10/2/2023,10/8/2023,1 weeks,539,-0.261643836,539,-0.261643836,127,-0.517110266,127,-0.517110266,0.235621521,-0.124652451,786000,0.034210526,451.3274336,0.078011386,27,-2,375,-0.524714829,0.07357269,-0.038660596,511,-0.072595281,1790,-0.04685836,302,0.193675889,233,0.378698225,0.590998043,0.131832889,0.455968689,0.149253625,631,-0.147297297,631,-0.147297297,777000,0.057214777,454.5170455,0.033509858,4456,-0.286583413,5097,-0.274964438,5097,-0.274964438,38,-7,99,-0.421052632,0.01942319,-0.004901134,825000,0.033834586,472.972973,0.083870529,644950,-0.167752758,634950,-0.1534,0.984108419,0.019657911,1.000412279,0.014996497,10,-12,0.948051948,0.193257428,9.456400742,-0.173736244,614,-0.113997114,0.405537459,0.153012207,0.535830619,0.151992235,0.084156194,-0.042164651,0.354359926,0.152990063,0.03887557,-0.00493238,12/6/2023 14:30,,99,,539,,631,,511,-0.421052632,-0.261643836,-0.147297297,-0.072595281
3834275,42644,-2,"Seattle, WA metro area",metro,10/9/2023,10/15/2023,1 weeks,547,-0.18358209,547,-0.18358209,131,-0.447257384,131,-0.447257384,0.239488117,-0.114243226,800000,0.025641026,451.0638298,0.022972462,28,-1,341,-0.49556213,0.06644583,-0.030056668,456,-0.112840467,1830,-0.015069968,254,0.049586777,196,0.132947977,0.557017544,0.086200423,0.429824561,0.093248686,681,-0.106299213,681,-0.106299213,775000,0.107158674,455.3571429,0.050093828,4517,-0.277626739,5132,-0.267380443,5132,-0.267380443,38,-6,104,-0.391812865,0.020265004,-0.004146131,824450,0.037044025,473.6767119,0.084892274,969995,0.385806129,950000,0.338028169,0.984121497,0.011306726,1.0018783,0.01488706,8,-9,0.833638026,0.066473846,9.382084095,-1.073139786,605,-0.087481146,0.368595041,0.082018872,0.489256198,0.089557857,0.075492584,-0.032615525,0.33820841,0.123283036,0.041476468,-0.000775568,12/6/2023 14:30,,104,,547,,681,,456,-0.391812865,-0.18358209,-0.106299213,-0.112840467
3831463,42644,-2,"Seattle, WA metro area",metro,10/16/2023,10/22/2023,1 weeks,601,-0.096240602,601,-0.096240602,123,-0.450892857,123,-0.450892857,0.204658902,-0.132183203,775000,0.054421769,454.2566508,0.039284156,29,0,420,-0.395683453,0.082127493,-0.017886897,448,-0.093117409,1893,0.037828947,261,0.134782609,203,0.215568862,0.582589286,0.117002241,0.453125,0.11506832,605,-0.130747126,605,-0.130747126,765000,0.055172414,453.121875,0.02499515,4498,-0.272286038,5114,-0.264066772,5114,-0.264066772,39,-6,125,-0.371859296,0.024442706,-0.004194508,816750,0.028658871,471.7361534,0.079949433,792000,0.092489137,750000,0.034482759,0.976002216,0.002821781,1.002026042,0.01382202,10,-7,0.745424293,0.00256715,8.509151414,-1.940472646,564,-0.133640553,0.382978723,0.112625421,0.508865248,0.126376769,0.093374833,-0.019066519,0.327787022,0.103726871,0.036585223,-0.004426873,12/6/2023 14:30,,125,,601,,605,,448,-0.371859296,-0.096240602,-0.130747126,-0.093117409
3729122,42644,-2,"Seattle, WA metro area",metro,10/23/2023,10/29/2023,1 weeks,603,-0.062208398,603,-0.062208398,152,-0.358649789,152,-0.358649789,0.252072968,-0.11651179,736000,-0.056410256,451.9230769,0.062588882,29,0,354,-0.473214286,0.070899259,-0.028523733,449,-0.105577689,1812,0.000552181,249,0.0969163,203,0.326797386,0.554565702,0.102374466,0.452115813,0.147334936,504,-0.134020619,504,-0.134020619,739500,-0.045806452,443.132485,0.045371886,4396,-0.268430687,4993,-0.261281255,4993,-0.261281255,45,-1,103,-0.457894737,0.02062888,-0.007481787,810000,0.018932008,474.2765273,0.085765132,775000,0.016726796,775000,0.061643836,0.988776961,0.022967339,0.998827223,0.01642681,12,-7,0.744610282,-0.036105115,8.28026534,-2.231398735,547,-0.153250774,0.382084095,0.129762114,0.473491773,0.091138832,0.080527753,-0.031304499,0.328358209,0.130846545,0.036560999,-0.002931182,12/6/2023 14:30,,103,,603,,504,,449,-0.457894737,-0.062208398,-0.134020619,-0.105577689
3810945,42644,-2,"Seattle, WA metro area",metro,10/30/2023,11/5/2023,1 weeks,590,0.074681239,590,0.074681239,159,-0.235576923,159,-0.235576923,0.269491525,-0.109379149,794500,0.095862069,447.8664495,0.10203654,28,-1,335,-0.441666667,0.068591319,-0.02218024,446,-0.074688797,1820.5,-0.026470588,233,0.170854271,180,0.276595745,0.522421525,0.109558454,0.403587444,0.111056324,491,-0.183028286,491,-0.183028286,759900,0.062797203,455.3960396,0.077754083,4207,-0.269998265,4884,-0.261119516,4884,-0.261119516,46,-5,180,-0.338235294,0.036855037,-0.004294736,810000,0.025316456,472.4754291,0.079573994,749000,-0.097590361,685000,-0.14375,0.977135044,0.008510583,0.997561662,0.013896279,13,-7,0.755932203,-0.122027724,8.277966102,-3.762106758,556,-0.094462541,0.334532374,0.095118693,0.447841727,0.110708176,0.079629189,-0.024483252,0.310169492,0.122555648,0.03642625,-0.006906583,12/6/2023 14:30,,180,,590,,491,,446,-0.338235294,0.074681239,-0.183028286,-0.074688797
3830649,42644,-2,"Seattle, WA metro area",metro,11/6/2023,11/12/2023,1 weeks,448,-0.118110236,448,-0.118110236,104,-0.446808511,104,-0.446808511,0.232142857,-0.137935883,785450,0.061418919,438.9794956,0.031124442,28,-2,323,-0.33126294,0.068855255,-0.008772518,443,0.016055046,1735,0.051833889,230,0.4375,177,0.404761905,0.519187359,0.152214882,0.399548533,0.110557707,486,0.051948052,486,0.051948052,759000,0.046896552,460.9179198,0.018490475,4047,-0.269889951,4691,-0.246062359,4691,-0.246062359,51,-1,157,-0.087209302,0.033468344,0.005824499,799990,0.017863732,472.2972973,0.076891682,950000,0.371846108,925000,0.423076923,0.977982066,0.021558393,0.995078362,0.014888082,11,-9.5,0.988839286,0.130571569,10.47098214,-1.777049353,541,-0.059130435,0.33271719,0.103151973,0.434380776,0.140467733,0.079812207,-0.007324723,0.263392857,0.066542463,0.038478251,-0.003335764,12/6/2023 14:30,,157,,448,,486,,443,-0.087209302,-0.118110236,0.051948052,0.016055046
3839035,42644,-2,"Seattle, WA metro area",metro,11/13/2023,11/19/2023,1 weeks,586,-0.159253945,586,-0.159253945,149,-0.444029851,149,-0.444029851,0.254266212,-0.13023881,762500,0.037414966,442.7361908,0.10266372,29,-1,266,-0.449275362,0.059375,-0.019987471,404,-0.110132159,1766,-0.030735456,213,0.097938144,175,0.206896552,0.527227723,0.099914947,0.433168317,0.113785057,436,-0.198529412,436,-0.198529412,726950,0.014742699,457.711871,0.054721995,3862,-0.273103708,4480,-0.263884325,4480,-0.263884325,52,-1,166,-0.32244898,0.037053571,-0.003202755,799950,0.017812838,474.3257637,0.079318485,732450,0.065381818,733750,0.120229008,0.980738184,0.028400558,0.997962473,0.019865486,14,-9,0.689419795,0.038056811,7.645051195,-1.086656123,490,-0.13884007,0.373469388,0.123908755,0.475510204,0.132803701,0.06887623,-0.022032861,0.30887372,0.128098971,0.036899254,-0.00680829,12/6/2023 14:30,,166,,586,,436,,404,-0.32244898,-0.159253945,-0.198529412,-0.110132159
3415642,42644,-2,"Seattle, WA metro area",metro,11/20/2023,11/26/2023,1 weeks,368,-0.152073733,368,-0.152073733,111,-0.4,111,-0.4,0.301630435,-0.124636846,765935,0.061594328,435.7241632,0.094415377,27,-2,113,-0.440594059,0.028193613,-0.008721592,346,0.168918919,1720,0.04021772,161,0.45045045,118,0.552631579,0.465317919,0.090317919,0.341040462,0.084283706,151,-0.05625,151,-0.05625,699000,0.027948735,449.943757,0.187818694,3509,-0.293110395,4008,-0.26754386,4008,-0.26754386,59,0,117,-0.22,0.029191617,0.001779336,799950,0.019044586,475.3262773,0.078395141,850000,0.133333333,825000,0.111111111,0.981088749,0.016328974,0.997858742,0.017281222,17,-11,0.940217391,0.258189742,10.89130435,-1.716990583,412,-0.014354067,0.279126214,0.099700376,0.405339806,0.127827844,0.032202907,-0.008490083,0.266304348,0.09118914,0.035836351,-0.005871224,12/6/2023 14:30,,117,,368,,151,,346,-0.22,-0.152073733,-0.05625,0.168918919
4094632,33124,-2,"Miami, FL metro area",metro,9/4/2023,9/10/2023,1 weeks,422,0,422,0,92,-0.123809524,92,-0.123809524,0.218009479,-0.030805687,510000,0.108695652,369.4968553,0.094386921,20.5,-0.5,334,-0.118733509,0.030885889,-0.000548133,288,-0.124620061,1346.5,-0.045035461,82,0.154929577,40,0.111111111,0.284722222,0.068916751,0.138888889,0.029466396,726,-0.052219321,726,-0.052219321,590000,0.156862745,417.8822529,0.12777861,10270,-0.10290007,10814,-0.103093639,10814,-0.103093639,72,4,140,-0.18128655,0.012946181,-0.001236452,649000,0.055284553,484.6521271,0.091740579,700000,1.295081967,710000,1.366666667,1.014285714,0.033153639,0.96768949,-0.002771132,52,4,0.682464455,-0.097156398,25.62559242,-2.94549763,541,-0.086148649,0.146025878,0.034539392,0.299445471,0.078161688,0.032521908,-0.000584311,0.201421801,0.009478673,0.053226628,0.002734293,12/6/2023 14:30,,140,,422,,726,,288,-0.18128655,0,-0.052219321,-0.124620061
4082951,33124,-2,"Miami, FL metro area",metro,9/11/2023,9/17/2023,1 weeks,524,-0.045537341,524,-0.045537341,131,-0.070921986,131,-0.070921986,0.25,-0.006830601,508000,0.04742268,376.9230769,0.111629242,21,0,370,-0.063291139,0.033496288,0.001100651,328,-0.125333333,1338,0.007150922,80,-0.111111111,39,-0.093023256,0.243902439,0.003902439,0.118902439,0.004235772,822,0.068920676,822,0.068920676,544950,0.048182343,411.2299465,0.101462892,10402,-0.093270572,11046,-0.094070368,11046,-0.094070368,69,0,196,-0.034482759,0.01774398,0.001095083,645250,0.057786885,482.1958457,0.088043366,620000,0.319148936,610000,0.355555556,0.985319477,0.040073174,0.968482763,0.001898964,53,3,0.625954198,-0.057105911,21.08015267,-1.129319095,585,-0.161891117,0.126495726,0.010449881,0.263247863,0.01826219,0.035570083,0.001138423,0.179389313,-0.013689011,0.046757844,-0.002932384,12/6/2023 14:30,,196,,524,,822,,328,-0.034482759,-0.045537341,0.068920676,-0.125333333
4077409,33124,-2,"Miami, FL metro area",metro,9/18/2023,9/24/2023,1 weeks,490,-0.061302682,490,-0.061302682,108,-0.312101911,108,-0.312101911,0.220408163,-0.08035812,500000,0.030927835,370.9169694,0.062736786,22,-1,409,-0.059770115,0.036750831,0.00105413,294,-0.203252033,1310,-0.007951534,74,-0.212765957,39,-0.048780488,0.25170068,-0.003041867,0.132653061,0.02154195,781,0.059701493,781,0.059701493,575000,0.107899807,412.6690783,0.084730149,10553,-0.084656085,11129,-0.086738881,11129,-0.086738881,68,-5,162,-0.018181818,0.014556564,0.001016436,649000,0.063934426,484.6081711,0.092232263,995000,0.606133979,928000,0.613913043,0.930746298,0.017257715,0.97273178,0.001694117,47,-2.5,0.6,-0.106896552,22.7122449,-0.632582688,559,-0.174298375,0.135957066,0.020742886,0.27549195,0.005181758,0.038756752,0.001025812,0.189795918,0.005887872,0.048093454,-0.006791774,12/6/2023 14:30,,162,,490,,781,,294,-0.018181818,-0.061302682,0.059701493,-0.203252033
4089523,33124,-2,"Miami, FL metro area",metro,9/25/2023,10/1/2023,1 weeks,554,-0.024647887,554,-0.024647887,125,-0.161073826,125,-0.161073826,0.225631769,-0.036692175,511250,0.087765957,356.3874968,0.039907978,21,-1,376,0.056179775,0.033374756,0.003989696,346,0.064615385,1395,0.041822255,90,0.40625,41,0.322580645,0.260115607,0.06319253,0.11849711,0.023112494,746,0.226973684,746,0.226973684,577000,0.098106385,412.3027901,0.066491693,10586,-0.072948594,11266,-0.070078415,11266,-0.070078415,68,-6,218,-0.095435685,0.019350257,-0.000542438,650000,0.06557377,484.4563651,0.088544892,725000,-0.161849711,700000,-0.31372549,0.965517241,0.024195832,0.968262067,0.003420898,49,-6,0.624548736,0.052365638,20.33574007,-0.99348528,567,0.065789474,0.134038801,0.030655342,0.308641975,0.088717163,0.035518609,0.004342499,0.189530686,0.029319418,0.04909531,-0.002671692,12/6/2023 14:30,,218,,554,,746,,346,-0.095435685,-0.024647887,0.226973684,0.064615385
4075703,33124,-2,"Miami, FL metro area",metro,10/2/2023,10/8/2023,1 weeks,441,-0.103658537,441,-0.103658537,125,-0.038461538,125,-0.038461538,0.283446712,0.01921907,518000,0.07357513,369.2713945,0.079076021,23,0,477,0.101616628,0.042137809,0.006349728,316,-0.003154574,1351,-0.002215657,89,0.816326531,52,1.166666667,0.28164557,0.127071437,0.164556962,0.088847183,768,0.097142857,768,0.097142857,575000,0.084907707,418.721564,0.050499382,10703,-0.065811294,11320,-0.064385486,11320,-0.064385486,68,-7,186,-0.083743842,0.016431095,-0.000347151,650000,0.06557377,483.8709677,0.085516351,,,,,,,0.967588923,-0.001721781,57,6,0.716553288,0.072244345,25.66893424,1.077470826,551,0.033771107,0.157894737,0.073466969,0.301270417,0.096767603,0.044566944,0.006773455,0.199546485,0.018652176,0.048540043,-0.00306364,12/6/2023 14:30,,186,,441,,768,,316,-0.083743842,-0.103658537,0.097142857,-0.003154574
3649290,33124,-2,"Miami, FL metro area",metro,10/9/2023,10/15/2023,1 weeks,441,-0.126732673,441,-0.126732673,133,-0.125,133,-0.125,0.301587302,0.000597203,515000,0.06185567,369.2528736,0.062191245,18,-4,450,0.041666667,0.039222522,0.003696207,298,0.056737589,1363,0.077044646,78,0.733333333,34,0.619047619,0.261744966,0.102170498,0.11409396,0.039625875,802,0.101648352,802,0.101648352,565000,0.066037736,403.1117397,0.042465708,10882,-0.059626685,11473,-0.056496711,11473,-0.056496711,67,-9,162,-0.024096386,0.014120108,0.000468792,650000,0.06557377,481.01983,0.078524462,679999,,650000,,0.955883759,,0.967495442,0.000580562,58,-1,0.675736961,0.11732112,26.01587302,1.936665095,551,0.099800399,0.132486388,0.042666029,0.290381125,0.094772343,0.041352693,0.004021203,0.154195011,0.003699962,0.045249029,-0.005932097,12/6/2023 14:30,,162,,441,,802,,298,-0.024096386,-0.126732673,0.101648352,0.056737589
4058398,33124,-2,"Miami, FL metro area",metro,10/16/2023,10/22/2023,1 weeks,491,-0.048449612,491,-0.048449612,143,-0.033783784,143,-0.033783784,0.291242363,0.004420657,525000,0.117021277,371.7472119,0.058594441,20,-2,456,0.0155902,0.039138271,0.002553899,289,-0.058631922,1311.5,-0.025631501,81,0.157142857,50,0.785714286,0.280276817,0.052263787,0.173010381,0.081805169,812,0.12465374,812,0.12465374,584999.5,0.103772642,430.5555556,0.080450734,11050,-0.04978932,11651,-0.050680355,11651,-0.050680355,67,-9,199,0.069892473,0.017080079,0.00192486,650000,0.06557377,483.8709677,0.082920142,535000,1.229166667,525000,0.510791367,0.981308411,0.023107353,0.964638805,-0.000714385,56,-5,0.588594705,-0.006366536,23.72912424,-0.055759485,484,-0.123188406,0.138429752,0.026110911,0.276859504,0.030482693,0.041266968,0.002656598,0.156822811,0.003722035,0.044676906,-0.011689405,12/6/2023 14:30,,199,,491,,812,,289,0.069892473,-0.048449612,0.12465374,-0.058631922
4054952,33124,-2,"Miami, FL metro area",metro,10/23/2023,10/29/2023,1 weeks,415,-0.171656687,415,-0.171656687,110,-0.294871795,110,-0.294871795,0.265060241,-0.046317005,489000,0.01875,350.9108909,0.031218382,19,-2,508,0.131403118,0.043039905,0.006715983,306,-0.012903226,1321,0.03689168,81,0.285714286,37,0.275862069,0.264705882,0.061480076,0.120915033,0.027366646,794,0.054448871,794,0.054448871,560000,0.066666667,412.5,0.060253906,11186,-0.047189097,11803,-0.045141979,11803,-0.045141979,66,-10,203,0.180232558,0.017199017,0.003284285,650000,0.06557377,483.7012987,0.080514888,,,,,,,0.970941621,0.006991095,49.5,-0.5,0.737349398,0.118586923,28.44096386,3.768309165,500,-0.060150376,0.122,0.031774436,0.278,0.063714286,0.04541391,0.007168595,0.202409639,0.036740976,0.047867335,-0.006444516,12/6/2023 14:30,,203,,415,,794,,306,0.180232558,-0.171656687,0.054448871,-0.012903226
4067163,33124,-2,"Miami, FL metro area",metro,10/30/2023,11/5/2023,1 weeks,486,-0.076045627,486,-0.076045627,121,-0.047244094,121,-0.047244094,0.248971193,0.007526326,515000,0.06924115,366.3003663,0.090087857,23,-1,548,0.268518519,0.045804079,0.011138696,292,-0.016835017,1270,-0.037149356,60,0.016949153,29,-0.033333333,0.205479452,0.006826253,0.099315068,-0.001695033,818,0.090666667,818,0.090666667,595000,0.083788707,443.775974,0.173409922,11266,-0.044525486,11964,-0.039961483,11964,-0.039961483,66,-10,286,0.112840467,0.023905048,0.003282355,650000,0.050080775,486.2700229,0.08578792,585000,-0.21942758,565000,-0.18705036,0.934085534,0.00754069,0.967135742,0.007278438,48,-3,0.600823045,0.036184262,24.61728395,0.925268741,503,-0.038240918,0.079522863,-0.039023982,0.206759443,-0.018861972,0.048641931,0.012003818,0.158436214,-0.010765307,0.045365991,-0.003377686,12/6/2023 14:30,,286,,486,,818,,292,0.112840467,-0.076045627,0.090666667,-0.016835017
3989467,33124,-2,"Miami, FL metro area",metro,11/6/2023,11/12/2023,1 weeks,347,-0.069705094,347,-0.069705094,86,-0.196261682,86,-0.196261682,0.247838617,-0.039024654,500000,0.062055928,362.745098,0.063876126,20,0,500,0.291989664,0.041642375,0.010694754,310,0.107142857,1301,-0.008384146,92,0.277777778,44,0.257142857,0.296774194,0.039631336,0.141935484,0.016935484,775,0.06456044,775,0.06456044,575000,0.046501047,432.7463237,0.098598667,11396,-0.046439628,12007,-0.03982407,12007,-0.03982407,66,-13,223,0.238888889,0.018572499,0.004178257,650000,0.041666667,488.0368882,0.083444059,589000,0.042570139,530000,-0.004694836,0.899830221,-0.022339595,0.96989412,0.007664332,50,-8,0.893371758,0.142701517,34.60230548,1.076836307,515,0.066252588,0.137864078,0.011570082,0.291262136,0.026251784,0.043875044,0.011492816,0.161383285,0.016611167,0.047751109,-0.005943239,12/6/2023 14:30,,223,,347,,775,,310,0.238888889,-0.069705094,0.06456044,0.107142857
4071001,33124,-2,"Miami, FL metro area",metro,11/13/2023,11/19/2023,1 weeks,427,-0.207792208,427,-0.207792208,123,-0.240740741,123,-0.240740741,0.288056206,-0.01250038,525000,0.124197002,371.4063714,0.104371042,19,-1,511,0.055785124,0.042206988,0.003967278,299,-0.03236246,1380,0.103117506,75,0.209677419,39,0.114285714,0.25083612,0.050188871,0.130434783,0.017166174,748,0.043235704,748,0.043235704,565000,0.132264529,437.1104938,0.143311031,11479,-0.044769909,12107,-0.043454215,12107,-0.043454215,67,-12,229,0.180412371,0.018914677,0.003587191,655000,0.056451613,491.8054277,0.092081524,,,,,,,0.964014206,0.004063429,60,-3,0.700234192,0.126950333,28.35362998,4.871255208,486,-0.08988764,0.098765432,-0.026702733,0.224279835,-0.007929902,0.044516073,0.004239798,0.161592506,0.024301226,0.046725093,-0.004042065,12/6/2023 14:30,,229,,427,,748,,299,0.180412371,-0.207792208,0.043235704,-0.03236246
4061440,33124,-2,"Miami, FL metro area",metro,11/20/2023,11/26/2023,1 weeks,268,-0.138263666,268,-0.138263666,85,-0.086021505,85,-0.086021505,0.317164179,0.018128809,512500,0.067708333,366.6666667,0.046249271,19,1,296,0.042253521,0.024786468,0.001894319,174,-0.089005236,1332,0.010622155,44,0.189189189,20,-0.090909091,0.252873563,0.059156286,0.114942529,-0.000240717,497,0.224137931,497,0.224137931,560000,0.072899703,426.4740363,0.049178457,11520,-0.039359573,11942,-0.037401257,11942,-0.037401257,69,-13,180,0.276595745,0.015072852,0.003707384,659000,0.056089744,494.1176471,0.09110406,,,,,,,0.962119629,0.001171384,50,-9,0.649253731,0.035105821,44.55970149,4.669026251,339,-0.023054755,0.09439528,-0.038169561,0.253687316,0.017376076,0.025694444,0.002011989,0.130597015,-0.017312953,0.045603215,-0.005555749,12/6/2023 14:30,,180,,268,,497,,174,0.276595745,-0.138263666,0.224137931,-0.089005236
