date,age_of_inventory,total_new_listings,total_active_listings,inventory,total_homes_sold,total_homes_sold_with_price_drops,average_sale_to_list_ratio,percent_homes_sold_with_price_drops,homes_delisted,median_new_listing_price,median_days_on_market,median_days_to_close,median_sale_price,months_of_supply,pending_sales,percent_off_market_in_two_weeks,percent_homes_sold_above_list,price_drops
2017-01-31,124.2,1566.6,34607.6,33338.8,1137.4,212.4,0.974381819599609,0.18755470423509357,380.0,584253.2,110.8,39.8,499250.0,30.94002118255322,373.6,0.16266048971930056,0.1337461685336957,771.4
2017-02-28,119.75,1904.25,35352.5,34026.75,1083.5,197.25,0.9735171717671186,0.18126315351489952,326.25,589475.0,114.5,38.25,497687.5,33.73491114704878,475.0,0.19621986376375788,0.13333364377519977,747.5
2017-03-31,99.25,2112.0,36760.25,35345.75,1127.5,200.0,0.9727347170060852,0.17819943203262534,322.5,599250.0,114.125,35.0,497125.0,33.328795088417934,621.5,0.20106205129339122,0.13612223958695055,783.0
2017-04-30,80.75,2219.25,37980.25,36503.75,1170.25,199.75,0.9743779481541779,0.17150994018858084,316.5,610500.0,105.0,33.625,506562.5,33.28818071156098,721.75,0.1673042784276946,0.13325638670207823,695.75
2017-05-31,75.2,2285.2,39771.4,38075.0,1349.4,190.8,0.9796270977638114,0.14167118151512867,356.4,589199.8,96.4,29.4,523950.0,29.559526935833183,832.6,0.14803123083273348,0.16158165514134182,813.2
2017-06-30,68.5,2696.5,40674.75,38086.75,1656.0,234.25,0.9806862241944011,0.1426170938292515,757.25,628500.0,90.75,28.625,556375.0,25.46336882553245,995.0,0.2170907625268782,0.14672395840081645,970.75
2017-07-31,76.2,1820.4,39540.4,37653.6,1531.8,226.2,0.9844040423983478,0.14750062142356757,468.6,544789.8,82.6,38.1,551000.0,27.207665424172355,825.2,0.126171950156436,0.17029640727195194,906.4
2017-08-31,83.25,1561.0,37767.75,35890.5,1638.0,392.75,0.9828779314747379,0.23871028265183405,533.25,540500.0,81.75,38.75,545250.0,23.175700172238287,731.75,0.14146825848978767,0.1607505658917912,791.25
2017-09-30,92.25,2024.0,37283.75,35566.0,1428.0,374.5,0.9815095207071254,0.26150309692261003,513.5,623850.25,84.75,40.75,521250.0,26.742140133449734,626.25,0.14412033519882184,0.15503105612641868,911.0
2017-10-31,92.8,1744.2,37096.0,35399.2,1380.8,364.6,0.9789207763834933,0.2636399720989233,470.8,600900.0,84.4,44.8,512390.0,27.164172759908904,653.8,0.1388062018419019,0.1481420760050931,781.4
2017-11-30,94.0,1263.5,35490.25,33865.75,1288.75,311.0,0.9789395047505807,0.24075725909111484,548.25,578000.0,87.25,45.0,528562.5,28.63935236421912,559.75,0.12610895725765692,0.1659301347065496,696.25
2017-12-31,102.0,845.0,32834.0,31362.25,1421.0,328.5,0.9771877741687441,0.23284299977186698,466.25,523700.0,90.25,40.875,528537.375,23.680909231012897,481.0,0.1011733065385015,0.17210692717417247,488.0
2018-01-31,112.5,1590.4,31619.0,30294.4,1112.2,244.8,0.9761670944758067,0.2200273719557083,430.4,614380.0,96.0,48.4,537610.2,29.93534684433424,401.8,0.1841128335374565,0.1708454546533039,535.0
2018-02-28,106.5,2038.25,33172.75,31784.25,1040.75,226.5,0.9740559479413357,0.21753821869951423,372.25,624486.0,101.0,42.875,529999.875,32.39214998754973,509.75,0.20516178564991466,0.15065630512046574,638.0
2018-03-31,84.5,2001.25,35240.75,33781.5,1110.25,252.5,0.9757243401258892,0.22826495163518692,348.5,621999.25,106.5,40.25,536767.25,32.18773307950205,627.25,0.19429891206419414,0.1684664197516088,659.0
2018-04-30,72.0,2637.4,37897.6,36184.2,1196.8,248.4,0.9786062284419025,0.20875387402025938,428.4,636688.4,96.0,38.6,534606.2,31.98402745303765,799.8,0.16587267058982416,0.19050691181758533,901.0
2018-05-31,69.75,2396.75,40847.25,39142.5,1269.75,228.75,0.9803133571649878,0.18052678216733664,389.0,614249.75,87.125,38.0,555676.375,32.33008011912903,835.0,0.16298370967477344,0.18411810172918452,980.75
2018-06-30,69.25,2259.75,41332.0,39327.25,1559.75,285.5,0.9804066808620291,0.18323187473542232,532.0,598586.25,79.25,42.5,562812.5,27.343644382135686,914.5,0.13870371931364167,0.20276321160877897,1208.75
2018-07-31,78.6,1887.8,40681.2,38870.2,1546.8,298.8,0.9797255604895059,0.19197132350052398,486.6,578980.0,77.7,40.4,562354.0,27.351125777169102,759.4,0.11636722842793282,0.19689291369869233,1112.8
2018-08-31,88.25,1582.75,39678.25,37923.75,1533.75,296.75,0.9794854780769116,0.19278107078213158,509.75,566972.0,77.0,43.0,554181.25,26.056937544513517,672.0,0.12375336408909543,0.1949407639588199,974.75
2018-09-30,92.25,2160.0,40007.25,38282.75,1361.0,284.75,0.9779219909798953,0.20814348371790062,534.75,643624.875,82.5,41.5,547500.0,29.75029573146911,578.5,0.12855980527297256,0.17850954765265215,1208.0
2018-10-31,89.4,1932.0,40303.4,38559.4,1326.2,307.8,0.9768575538497093,0.2314558961746588,585.2,631299.9,85.6,43.6,534000.0,30.649548136508294,596.2,0.1239460403587381,0.16343972816539676,1217.6
2018-11-30,89.0,1361.0,38976.25,37302.5,1183.25,292.5,0.9751039407909983,0.24603472213927696,650.5,580487.375,88.0,43.5,543737.5,33.9539423685954,514.25,0.10472683267869495,0.15618835686992893,928.75
2018-12-31,101.8,997.6,36028.2,34528.6,1202.4,323.2,0.9722325408391574,0.27068461220796236,577.6,565580.0,92.7,42.0,533200.0,32.7377733200956,415.2,0.09153876920962119,0.15229056139831817,600.6
2019-01-31,108.25,1810.0,35077.75,33405.5,1137.75,304.75,0.9737930488418338,0.2677567333657004,660.5,637874.875,97.25,47.125,531066.25,31.252141691872474,424.5,0.15866247774920375,0.1456674809550904,799.75
2019-02-28,106.25,1989.5,35635.5,34100.75,1034.0,288.0,0.97237683540237,0.27853269732977076,461.0,630725.0,108.5,41.75,528750.0,35.32359858021177,511.0,0.17672047265322827,0.14141182385618312,772.75
2019-03-31,85.25,2310.75,37324.75,35657.0,1133.5,297.0,0.9700494097067397,0.2611508531434009,470.75,643658.875,107.875,39.5,523218.875,33.35659592609994,633.5,0.175856957511224,0.13439469723555916,830.25
2019-04-30,71.8,2603.2,40099.2,38378.0,1168.4,282.4,0.9739255101714829,0.24222485827160484,455.4,638999.0,103.0,40.0,553800.0,34.599660903565145,769.2,0.1507928183626609,0.15174819571352585,938.0
2019-05-31,69.75,2358.5,42560.25,40788.25,1290.75,298.5,0.9759316294717246,0.2312195463813087,490.25,629737.5,93.5,43.25,554375.0,33.099407807124535,776.75,0.13547085580150708,0.1517689281504216,1107.0
2019-06-30,75.25,2166.75,43440.25,41420.5,1603.0,342.5,0.9778779598572045,0.21551210411978383,562.0,607250.0,87.625,42.125,589212.0,28.03492456939368,856.0,0.12329556097979763,0.1508760228749577,1227.25
2019-07-31,84.0,1769.2,41998.4,40038.6,1453.4,343.2,0.9777134744106786,0.23523948115874949,625.0,591177.6,79.9,45.0,556207.4,29.84980731369425,733.2,0.09948462963130034,0.17325465449887517,1039.8
2019-08-31,94.0,1533.75,39978.0,38052.0,1506.5,373.25,0.9761675144888988,0.24730283126506294,632.5,579690.0,81.5,47.0,574375.0,26.786129571965525,660.0,0.11000605847224462,0.16326859660898924,884.5
2019-09-30,93.0,2213.2,39391.2,37490.6,1334.2,367.4,0.9740492945491237,0.27515086715160464,765.6,669360.0,88.9,46.6,548954.0,29.90735776390998,563.4,0.13018080563242695,0.1498961401393965,1123.4
2019-10-31,89.0,1669.0,38925.0,37209.25,1288.75,357.75,0.9727519035435468,0.2784254976167909,569.5,622322.0,90.75,50.5,549750.0,30.845048572022613,590.75,0.12458988658182385,0.1462249503493691,979.25
2019-11-30,88.5,1281.75,37352.25,35724.25,1179.5,339.0,0.9736593737921685,0.2884315571146416,575.75,612737.5,94.0,46.25,555500.0,32.06740468448356,544.75,0.12383977117495783,0.15244483887411814,741.5
2019-12-31,102.2,888.0,34214.6,32669.6,1235.4,362.4,0.9728743521012271,0.29475634001452367,639.4,594979.8,94.5,48.2,545250.0,29.32997371404531,411.6,0.08274134325412395,0.15127509331829597,451.8
2020-01-31,112.5,1774.5,32923.75,31532.25,1215.5,356.25,0.975023700780962,0.29331133626671435,457.5,632181.75,104.625,54.0,565375.0,27.24827055674356,389.5,0.1799779360812968,0.14816563671817148,624.25
2020-02-29,108.25,2011.75,34122.25,32573.5,1130.25,311.5,0.9716752373126826,0.27411158656274354,468.75,638787.5,109.5,51.125,566000.0,30.68250302709817,517.5,0.20575698613809015,0.14153966013770308,644.5
2020-03-31,86.8,1359.6,34658.6,33208.0,939.2,245.0,0.9747411769535559,0.26036459255761674,588.8,584199.9,105.0,44.6,571000.0,37.93522432969528,472.0,0.16722248401557913,0.15208071231479764,450.6
2020-04-30,98.25,565.0,31246.25,30407.75,720.5,185.75,0.9788662739714498,0.256971186637592,352.5,581000.0,97.5,50.25,576375.0,45.3931793350725,257.5,0.0807289903894141,0.17858588392955796,229.75
2020-05-31,109.25,1305.5,30714.25,29776.75,822.0,178.0,0.9788551993796836,0.21642928406909479,300.25,623875.0,95.75,56.125,569884.375,37.37764263512266,328.0,0.17298064300185517,0.18042326671930103,380.75
2020-06-30,113.6,2417.6,33725.0,32314.6,926.4,217.8,0.9745470334196433,0.2351165662403863,339.2,638800.0,97.5,55.1,563100.0,36.83299682923183,571.8,0.2859417029113158,0.15565896590405498,613.2
2020-07-31,74.75,2768.75,38057.25,36159.5,1028.75,221.25,0.9794427573669808,0.21605293392695235,440.75,648749.75,91.0,43.0,569625.0,37.753459199503894,927.5,0.22923030581988416,0.19890550761364867,975.0
2020-08-31,64.0,2447.8,39928.2,37965.0,1246.0,274.6,0.9844216615003539,0.2205566410782227,449.6,639499.8,76.1,45.8,572900.0,32.42762726992439,1059.8,0.1769429341466858,0.24549316094657964,938.2
2020-09-30,68.5,2628.75,41269.0,39318.25,1315.75,390.25,0.985734735535823,0.2955879873968643,483.75,655850.0,72.0,50.75,577250.0,32.42062166615334,1008.0,0.16895571635250628,0.1626677641481199,1181.25
2020-10-31,73.25,2210.75,41866.5,39861.5,1469.75,443.75,0.9853640050422592,0.3022237868307818,494.5,630250.0,67.75,56.25,578250.0,29.20528503490487,990.75,0.1680622346057244,0.15788103923564095,1125.0
2020-11-30,82.6,1590.8,40223.6,38312.0,1444.4,441.8,0.9847868731711398,0.30691977096323636,537.8,612800.0,68.4,58.6,583650.0,28.434552213078014,834.4,0.128209307520193,0.16579420223845243,929.6
2020-12-31,98.25,919.75,36315.0,34423.0,1589.75,522.5,0.9836553604596078,0.3277145431015356,556.75,613500.0,73.0,58.25,590900.0,23.055034310369074,703.25,0.12202826236096923,0.1466727064948593,550.0
2021-01-31,107.25,1737.0,33585.5,30519.25,1480.0,514.75,0.9837767472144675,0.34543632941630903,908.25,642250.0,75.875,67.25,594750.0,23.014306188106122,979.75,0.20577854178038446,0.1554069818377336,883.5
2021-02-28,104.0,1593.75,27523.25,25997.75,1387.75,584.75,0.9826989290875833,0.4207290567565547,456.5,644749.875,78.5,75.0,600000.0,20.057519244297655,610.5,0.2727329636673972,0.14065648482668147,893.25
2021-03-31,77.4,2271.8,28584.2,26713.0,1494.0,597.4,0.982230251087185,0.4002002472856587,480.6,665788.6,85.2,69.9,626500.0,19.13649932348874,926.4,0.308452397774375,0.17918580297894163,977.6
2021-04-30,60.25,2694.25,30934.75,28923.5,1516.25,561.0,0.9843215920474726,0.3709211749755788,442.25,686375.0,84.0,74.75,646250.0,20.805118178978685,1151.0,0.27307277596802293,0.20424782911605394,1099.75
2021-05-31,58.6,2544.6,32832.6,30666.2,1613.0,528.0,0.9907282919563137,0.3280747070996352,476.4,680560.0,69.7,70.4,652800.0,20.585166128642093,1303.0,0.2457015388456023,0.24829283012544376,1242.8
2021-06-30,60.75,2244.75,33518.25,31292.75,1903.75,571.75,0.9973333173832543,0.30171135386308817,545.75,655811.0,60.0,70.375,675625.0,17.973164647272732,1272.5,0.20305803506523257,0.28555862133359566,1208.0
2021-07-31,65.5,2170.25,32788.75,30700.75,1885.75,565.5,0.9994290069861189,0.3001860874741048,551.25,652986.0,54.75,71.5,673500.0,17.77930997747116,1151.0,0.19350806961770275,0.30083944871318963,1203.25
2021-08-31,70.4,1809.0,31549.0,29553.4,2021.4,609.4,0.9970231360898687,0.30155168261915677,535.2,637600.0,51.6,71.1,678200.0,15.629211120658136,1047.4,0.18475086029538618,0.2913111859390991,1043.2
2021-09-30,71.0,2240.5,30829.75,28788.25,1627.5,512.25,0.9948305452097063,0.31344520095624573,609.5,705283.5,53.5,73.25,661250.0,19.635116719554215,971.25,0.19912372076994284,0.27450395908579484,1287.5
2021-10-31,68.25,2030.25,30723.5,28619.75,1770.25,546.75,0.9931666300126453,0.3093192747026673,558.25,694125.0,55.5,71.875,654250.0,17.537806806237008,1084.5,0.23002116248504945,0.26299703087716286,1208.25
2021-11-30,70.4,1491.6,28622.2,26667.8,1547.8,506.2,0.9904639792599943,0.32732331469264697,550.2,666300.0,58.4,67.6,649800.0,19.081260486403455,950.8,0.18458852525408562,0.2564292905934319,980.4
2021-12-31,84.75,866.0,25153.25,23428.75,1664.75,545.25,0.9915753391121719,0.3273577382937152,536.75,659362.375,58.875,66.0,650000.0,15.278943077032647,762.0,0.18029738522826017,0.259602302580216,538.0
2022-01-31,89.6,1702.4,23348.4,21653.8,1530.8,518.2,0.9898276879214162,0.33824635117088986,440.6,695500.0,61.4,72.4,666650.0,15.309674991474074,777.8,0.2698764895999052,0.23816924658347016,683.4
2022-02-28,75.0,2057.0,23962.75,22288.25,1424.0,512.75,0.9888472560722293,0.3603952288749708,366.75,702624.75,65.75,75.25,665875.0,17.033773280995995,859.0,0.3302417230812953,0.23197547041771482,781.25
2022-03-31,54.75,2415.5,25764.25,23829.0,1489.5,482.0,0.9939519812176715,0.3244520210429725,410.75,719349.75,65.0,68.25,689625.0,17.392590234441144,1133.75,0.3101973493926838,0.2581877272649318,848.75
2022-04-30,52.5,2388.0,27238.25,25371.5,1425.0,409.0,1.0010364523563924,0.28634689148102715,387.0,739000.0,60.5,64.125,683625.0,19.234293934074294,1180.75,0.259984649130971,0.3191140339404001,1031.5
2022-05-31,53.8,2395.4,29492.4,27609.0,1553.4,420.8,1.0057523701918287,0.2710989176208799,437.2,725899.8,50.2,63.0,697000.0,19.00239659504182,1177.0,0.24812230130678267,0.3338958434597073,1161.0
2022-06-30,58.0,2162.75,30855.0,28915.0,1781.5,446.25,1.0093114801316532,0.2523237576406432,550.25,693499.75,42.75,66.25,708162.5,17.625022707577838,1108.0,0.18637982691609675,0.36959416407444595,1334.0
2022-07-31,65.5,1861.0,31000.5,29206.25,1702.25,417.0,1.0057078370141785,0.24354725229386182,523.75,687875.0,41.75,68.0,710000.0,18.652099870686193,972.25,0.1681042398246783,0.3641163838676756,1235.0
2022-08-31,75.4,1437.2,29715.2,27959.2,1616.4,449.6,1.001527132515284,0.2776696277754046,535.6,670368.8,42.8,63.0,700000.0,18.43908931272386,872.6,0.15994295488850127,0.32798815300243367,996.8
2022-09-30,80.5,1896.25,29270.5,27695.5,1412.0,439.25,0.993371245679152,0.3111890821477419,531.0,744498.75,49.5,62.75,683555.5,20.826010626327534,695.5,0.15794569664309963,0.27761194247591203,1248.5
2022-10-31,81.2,1496.8,29089.8,27531.4,1291.8,439.8,0.9889389046553866,0.3398112007622135,536.0,715857.4,57.4,62.2,669650.0,22.62154915314934,671.4,0.15942955913974072,0.25545031578159744,1249.4
2022-11-30,82.75,1062.0,27456.5,26011.25,1123.75,389.0,0.9873352674544276,0.3496073910138526,562.25,695999.875,60.75,60.375,658725.0,25.33151690123238,565.75,0.1233917488778075,0.24646008952637752,1195.5
2022-12-31,96.5,631.5,24682.5,23311.75,1111.0,394.5,0.9840934991240102,0.3566481423511659,562.25,639749.75,62.0,59.5,649750.0,22.713009645810374,482.75,0.1028568555269915,0.23076452491727614,515.75
2023-01-31,104.4,1274.2,22871.6,21539.8,944.0,370.0,0.9823612218013793,0.39217477516325144,469.0,701488.8,67.0,64.9,657200.0,24.551366669374197,456.2,0.19048415671650348,0.20436574254133227,875.8
2023-02-28,98.75,1530.5,22609.5,21261.75,874.5,358.0,0.9823624715021513,0.4082817654182368,357.0,748097.0,76.0,63.25,643500.0,26.370585232613365,559.0,0.252342226357472,0.19253614360111232,674.5
2023-03-31,70.75,1790.0,23411.5,21917.25,942.25,386.75,0.985193818678772,0.410419486499069,359.5,749624.875,79.75,55.375,656750.0,25.193023984885574,763.25,0.2666415399269951,0.22558381790577425,774.0
2023-04-30,63.0,1783.75,24100.0,22651.0,1003.5,380.25,0.990105658811007,0.38033247061198344,329.75,780750.0,77.0,56.75,668374.875,24.343510750147757,833.5,0.2273569792759755,0.240371787325037,801.25
2023-05-31,61.6,1855.4,25232.8,23682.4,1121.0,385.0,0.9960586689694606,0.3434462549842513,378.4,758400.0,61.5,59.0,699200.0,22.53996113663291,881.4,0.2241295296388252,0.27620157994283073,907.4
2023-06-30,65.0,1600.5,25507.0,23915.25,1325.0,397.25,1.0025601754495816,0.3034018296877331,452.5,736985.75,51.25,61.25,707500.0,19.79265111741597,870.0,0.1846312834553038,0.31931652705165314,906.0
2023-07-31,72.6,1461.8,25052.2,23691.2,1252.6,368.2,1.0041067741443415,0.2932918003578791,408.0,712760.0,48.4,62.2,714100.0,20.55082892985516,704.6,0.1734302823951029,0.33207960985587687,784.2
2023-08-31,80.25,1252.0,24888.75,23644.0,1327.25,393.5,1.0025363454330658,0.2966666950193051,384.25,706624.875,49.0,63.625,731250.0,18.84060006305181,619.75,0.17799545742340644,0.3334392416275461,702.0
